phone_length=80ms, overlap=0.5, training_length=3-9

inference_min,inference_max,%_top_5,%_top_10,map_at_5,map_all,num_top_5,num_top_10
3,9,81,91,0.652,0.320,80,90
3,10,81,90,0.653,0.322,80,89
3,8,80,91,0.654,0.319,79,90
4,9,82,92,0.650,0.320,81,91
5,9,82,91,0.652,0.316,81,90
5,10,83,91,0.661,0.318,82,90
6,10,80,91,0.666,0.313,79,90
6,11,81,91,0.664,0.314,80,90
5,11,84,91,0.666,0.318,83,90
4,11,82,92,0.654,0.322,81,91
5,12,85,91,0.669,0.319,84,90
6,12,83,92,0.666,0.313,82,91
6,13,85,92,0.672,0.310,84,91
5,13,85,91,0.664,0.318,84,90
5,14,87,91,0.675,0.321,86,90
6,14,85,92,0.670,0.311,84,91
5,15,86,91,0.671,0.318,85,90
5,16,86,91,0.675,0.317,85,90
5,17,86,91,0.675,0.319,85,90
4,14,85,91,0.672,0.324,84,90
